transacao_id,data,ano,mes,trimestre,cliente_id,marca_id,produto_id,tipo_produto,valor_contrato,receita,cidade,segmento
T01351,2022-01-01,2022,1,Q1,C0009,1,P002,Credito,115978.73,4059.26,Braga,PME
T02636,2022-01-02,2022,1,Q1,C0003,2,P008,Seguro Habitacao,861.67,172.33,Lisboa,PME
T01425,2022-01-02,2022,1,Q1,C0002,2,P009,Seguro Saude,3231.84,807.96,Setubal,Private Banking
T01357,2022-01-02,2022,1,Q1,C0035,1,P003,Credito,31876.09,2613.84,Lisboa,Private Banking
T01141,2022-01-02,2022,1,Q1,C0039,1,P005,Cartao,2019.41,117.13,Setubal,PME
T00600,2022-01-03,2022,1,Q1,C0013,3,P013,Gestao,85072.42,1020.87,Viseu,Corporate
T01499,2022-01-03,2022,1,Q1,C0039,3,P010,Fundo,39103.05,586.55,Leiria,PME
T00998,2022-01-03,2022,1,Q1,C0041,1,P004,Deposito,26341.19,553.16,Viseu,Particular
T02611,2022-01-03,2022,1,Q1,C0029,3,P011,Fundo,47784.26,382.27,Braga,PME
T01918,2022-01-05,2022,1,Q1,C0037,1,P004,Deposito,711.82,14.95,Coimbra,Particular
T00160,2022-01-06,2022,1,Q1,C0017,3,P011,Fundo,98765.2,790.12,Setubal,Particular
T00833,2022-01-06,2022,1,Q1,C0001,3,P010,Fundo,90781.12,1361.72,Viseu,Particular
T00420,2022-01-07,2022,1,Q1,C0013,3,P014,Poupanca,4044.83,40.45,Viseu,Corporate
T02161,2022-01-07,2022,1,Q1,C0039,1,P003,Credito,9074.42,744.1,Setubal,PME
T02476,2022-01-08,2022,1,Q1,C0026,3,P011,Fundo,63795.01,510.36,Faro,PME
T02498,2022-01-09,2022,1,Q1,C0025,3,P010,Fundo,2537.48,38.06,Porto,Particular
T01746,2022-01-09,2022,1,Q1,C0032,2,P007,Seguro Auto,982.99,181.85,Faro,Particular
T02120,2022-01-09,2022,1,Q1,C0001,3,P014,Poupanca,22450.32,224.5,Viseu,Particular
T00549,2022-01-10,2022,1,Q1,C0013,3,P011,Fundo,28556.14,228.45,Viseu,Corporate
T01463,2022-01-10,2022,1,Q1,C0035,1,P002,Credito,52016.2,1820.57,Lisboa,Private Banking
T02556,2022-01-10,2022,1,Q1,C0027,3,P012,Fundo,13974.75,279.5,Braga,Particular
T01490,2022-01-11,2022,1,Q1,C0025,3,P010,Fundo,4965.81,74.49,Porto,Particular
T02282,2022-01-11,2022,1,Q1,C0022,2,P007,Seguro Auto,962.9,178.14,Evora,Particular
T02567,2022-01-11,2022,1,Q1,C0042,2,P006,Seguro Vida,1631.0,358.82,Viseu,Particular
T01852,2022-01-11,2022,1,Q1,C0026,1,P003,Credito,245822.89,20157.48,Leiria,PME
T01016,2022-01-11,2022,1,Q1,C0005,3,P011,Fundo,47695.2,381.56,Viseu,Particular
T00977,2022-01-14,2022,1,Q1,C0029,2,P007,Seguro Auto,1015.86,187.93,Aveiro,PME
T01980,2022-01-14,2022,1,Q1,C0022,3,P010,Fundo,8299.38,124.49,Coimbra,Particular
T01827,2022-01-14,2022,1,Q1,C0014,1,P004,Deposito,17395.34,365.3,Evora,Particular
T01270,2022-01-14,2022,1,Q1,C0014,1,P005,Cartao,1534.94,89.03,Evora,Particular
T00515,2022-01-14,2022,1,Q1,C0024,3,P012,Fundo,84319.73,1686.39,Viseu,Particular
T02663,2022-01-14,2022,1,Q1,C0029,3,P014,Poupanca,21257.69,212.58,Braga,PME
T00402,2022-01-14,2022,1,Q1,C0016,3,P013,Gestao,155984.56,1871.81,Coimbra,Particular
T01005,2022-01-15,2022,1,Q1,C0023,1,P002,Credito,173502.85,6072.6,Coimbra,Particular
T01004,2022-01-15,2022,1,Q1,C0036,3,P014,Poupanca,5299.2,52.99,Setubal,Corporate
T02152,2022-01-15,2022,1,Q1,C0023,1,P005,Cartao,2696.36,156.39,Coimbra,Particular
T00784,2022-01-16,2022,1,Q1,C0030,2,P008,Seguro Habitacao,1666.77,333.35,Coimbra,Particular
T02045,2022-01-16,2022,1,Q1,C0009,1,P004,Deposito,3666.52,77.0,Braga,PME
T01112,2022-01-17,2022,1,Q1,C0014,3,P010,Fundo,15917.69,238.77,Viseu,Particular
T01407,2022-01-18,2022,1,Q1,C0004,1,P001,Deposito,20856.81,250.28,Coimbra,PME
T00780,2022-01-18,2022,1,Q1,C0013,2,P008,Seguro Habitacao,1755.85,351.17,Coimbra,Corporate
T00607,2022-01-18,2022,1,Q1,C0038,3,P011,Fundo,44569.84,356.56,Porto,Particular
T01098,2022-01-18,2022,1,Q1,C0042,2,P009,Seguro Saude,7655.22,1913.81,Viseu,Particular
T01924,2022-01-18,2022,1,Q1,C0007,3,P013,Gestao,216716.29,2600.6,Braga,Particular
T01209,2022-01-18,2022,1,Q1,C0004,1,P004,Deposito,33188.45,696.96,Coimbra,PME
T02283,2022-01-19,2022,1,Q1,C0005,1,P004,Deposito,24856.28,521.98,Aveiro,Particular
T02765,2022-01-19,2022,1,Q1,C0027,3,P010,Fundo,96622.66,1449.34,Braga,Particular
T00779,2022-01-19,2022,1,Q1,C0028,1,P002,Credito,163606.03,5726.21,Aveiro,Particular
T00915,2022-01-19,2022,1,Q1,C0006,1,P003,Credito,114188.48,9363.46,Evora,Particular
T01919,2022-01-20,2022,1,Q1,C0041,1,P002,Credito,106224.94,3717.87,Viseu,Particular
T00652,2022-01-20,2022,1,Q1,C0020,3,P010,Fundo,76133.99,1142.01,Aveiro,Particular
T01064,2022-01-20,2022,1,Q1,C0011,1,P004,Deposito,25230.09,529.83,Viseu,Particular
T02610,2022-01-20,2022,1,Q1,C0037,2,P008,Seguro Habitacao,2442.13,488.43,Setubal,Particular
T02255,2022-01-20,2022,1,Q1,C0041,3,P014,Poupanca,21970.23,219.7,Leiria,Particular
T01593,2022-01-22,2022,1,Q1,C0005,1,P001,Deposito,46044.85,552.54,Aveiro,Particular
T02266,2022-01-22,2022,1,Q1,C0025,1,P005,Cartao,4675.72,271.19,Viseu,Particular
T01957,2022-01-22,2022,1,Q1,C0026,1,P004,Deposito,23478.35,493.05,Leiria,PME
T02067,2022-01-23,2022,1,Q1,C0041,1,P003,Credito,42606.64,3493.74,Viseu,Particular
T00938,2022-01-23,2022,1,Q1,C0035,3,P014,Poupanca,5958.47,59.58,Setubal,Private Banking
T02546,2022-01-23,2022,1,Q1,C0020,3,P011,Fundo,47072.29,376.58,Aveiro,Particular
T00404,2022-01-24,2022,1,Q1,C0016,3,P012,Fundo,69584.09,1391.68,Coimbra,Particular
T02019,2022-01-25,2022,1,Q1,C0028,1,P005,Cartao,4948.52,287.01,Aveiro,Particular
T00618,2022-01-25,2022,1,Q1,C0022,3,P012,Fundo,14066.31,281.33,Coimbra,Particular
T00507,2022-01-26,2022,1,Q1,C0018,3,P013,Gestao,224509.8,2694.12,Coimbra,Particular
T00640,2022-01-26,2022,1,Q1,C0014,1,P001,Deposito,23852.35,286.23,Evora,Particular
T02092,2022-01-28,2022,1,Q1,C0014,3,P010,Fundo,62018.52,930.28,Viseu,Particular
T02363,2022-01-28,2022,1,Q1,C0040,3,P010,Fundo,14085.73,211.29,Setubal,Particular
T02365,2022-01-28,2022,1,Q1,C0001,3,P010,Fundo,54694.65,820.42,Viseu,Particular
T00621,2022-01-29,2022,1,Q1,C0016,3,P011,Fundo,4942.86,39.54,Coimbra,Particular
T01240,2022-01-31,2022,1,Q1,C0016,2,P009,Seguro Saude,2946.6,736.65,Coimbra,Particular
T00107,2022-02-01,2022,2,Q1,C0009,1,P004,Deposito,43611.18,915.83,Braga,PME
T00433,2022-02-02,2022,2,Q1,C0014,2,P007,Seguro Auto,494.21,91.43,Porto,Particular
T01364,2022-02-02,2022,2,Q1,C0009,1,P004,Deposito,33067.37,694.41,Braga,PME
T02350,2022-02-02,2022,2,Q1,C0033,1,P005,Cartao,710.93,41.23,Aveiro,Particular
T02774,2022-02-03,2022,2,Q1,C0041,1,P003,Credito,137408.13,11267.47,Viseu,Particular
T01170,2022-02-03,2022,2,Q1,C0031,1,P002,Credito,248385.94,8693.51,Lisboa,PME
T02489,2022-02-03,2022,2,Q1,C0038,3,P013,Gestao,96653.89,1159.85,Porto,Particular
T02558,2022-02-03,2022,2,Q1,C0004,1,P004,Deposito,5208.43,109.38,Coimbra,PME
T00994,2022-02-03,2022,2,Q1,C0012,2,P009,Seguro Saude,6872.34,1718.09,Faro,Private Banking
T01569,2022-02-05,2022,2,Q1,C0016,3,P011,Fundo,58583.8,468.67,Coimbra,Particular
T02395,2022-02-05,2022,2,Q1,C0022,3,P014,Poupanca,15269.94,152.7,Coimbra,Particular
T00477,2022-02-05,2022,2,Q1,C0029,2,P009,Seguro Saude,6740.09,1685.02,Aveiro,PME
T01783,2022-02-06,2022,2,Q1,C0001,1,P004,Deposito,6275.57,131.79,Coimbra,Particular
T02090,2022-02-06,2022,2,Q1,C0037,1,P005,Cartao,2354.78,136.58,Coimbra,Particular
T02726,2022-02-07,2022,2,Q1,C0035,3,P013,Gestao,73463.19,881.56,Setubal,Private Banking
T00241,2022-02-07,2022,2,Q1,C0022,3,P012,Fundo,18846.03,376.92,Coimbra,Particular
T01902,2022-02-08,2022,2,Q1,C0016,2,P006,Seguro Vida,1588.21,349.41,Coimbra,Particular
T00987,2022-02-08,2022,2,Q1,C0040,2,P008,Seguro Habitacao,2399.78,479.96,Leiria,Particular
T00958,2022-02-08,2022,2,Q1,C0029,2,P006,Seguro Vida,3400.46,748.1,Aveiro,PME
T01424,2022-02-08,2022,2,Q1,C0029,1,P002,Credito,164952.01,5773.32,Faro,PME
T01643,2022-02-10,2022,2,Q1,C0033,1,P003,Credito,14157.52,1160.92,Aveiro,Particular
T01926,2022-02-10,2022,2,Q1,C0017,3,P012,Fundo,19959.66,399.19,Setubal,Particular
T00823,2022-02-10,2022,2,Q1,C0003,2,P006,Seguro Vida,2133.68,469.41,Lisboa,PME
T02219,2022-02-10,2022,2,Q1,C0024,3,P014,Poupanca,24888.96,248.89,Viseu,Particular
T00017,2022-02-11,2022,2,Q1,C0038,2,P007,Seguro Auto,733.96,135.78,Coimbra,Particular
T00076,2022-02-12,2022,2,Q1,C0041,1,P003,Credito,146180.51,11986.8,Viseu,Particular
T02620,2022-02-12,2022,2,Q1,C0009,1,P004,Deposito,42885.14,900.59,Braga,PME
T00156,2022-02-13,2022,2,Q1,C0003,2,P008,Seguro Habitacao,1062.78,212.56,Lisboa,PME
T01521,2022-02-13,2022,2,Q1,C0018,3,P011,Fundo,7232.0,57.86,Coimbra,Particular
T01792,2022-02-14,2022,2,Q1,C0006,1,P002,Credito,226091.76,7913.21,Evora,Particular
T02519,2022-02-14,2022,2,Q1,C0024,2,P006,Seguro Vida,2356.86,518.51,Braga,Particular
T02671,2022-02-14,2022,2,Q1,C0012,3,P011,Fundo,82036.46,656.29,Faro,Private Banking
T02029,2022-02-17,2022,2,Q1,C0036,2,P006,Seguro Vida,3750.86,825.19,Aveiro,Corporate
T01082,2022-02-17,2022,2,Q1,C0007,2,P007,Seguro Auto,1326.83,245.46,Evora,Particular
T01935,2022-02-17,2022,2,Q1,C0042,2,P008,Seguro Habitacao,1893.29,378.66,Viseu,Particular
T02372,2022-02-19,2022,2,Q1,C0014,3,P013,Gestao,223422.38,2681.07,Viseu,Particular
T01497,2022-02-19,2022,2,Q1,C0026,1,P004,Deposito,38705.83,812.82,Leiria,PME
T02701,2022-02-19,2022,2,Q1,C0039,3,P010,Fundo,21150.42,317.26,Leiria,PME
T01287,2022-02-19,2022,2,Q1,C0027,3,P010,Fundo,74009.37,1110.14,Braga,Particular
T01881,2022-02-20,2022,2,Q1,C0036,3,P012,Fundo,56543.39,1130.87,Setubal,Corporate
T01542,2022-02-20,2022,2,Q1,C0024,1,P005,Cartao,4236.21,245.7,Faro,Particular
T01256,2022-02-21,2022,2,Q1,C0011,1,P004,Deposito,29720.62,624.13,Viseu,Particular
T01437,2022-02-21,2022,2,Q1,C0037,3,P011,Fundo,49434.02,395.47,Viseu,Particular
T01943,2022-02-21,2022,2,Q1,C0013,2,P009,Seguro Saude,7725.54,1931.38,Coimbra,Corporate
T01536,2022-02-21,2022,2,Q1,C0024,1,P004,Deposito,38541.65,809.37,Faro,Particular
T00075,2022-02-22,2022,2,Q1,C0005,3,P011,Fundo,96229.2,769.83,Viseu,Particular
T02508,2022-02-22,2022,2,Q1,C0025,2,P006,Seguro Vida,2812.46,618.74,Faro,Particular
T00022,2022-02-22,2022,2,Q1,C0019,3,P014,Poupanca,20965.72,209.66,Lisboa,Particular
T00162,2022-02-22,2022,2,Q1,C0007,2,P006,Seguro Vida,1946.38,428.2,Evora,Particular
T00790,2022-02-22,2022,2,Q1,C0040,1,P004,Deposito,49874.72,1047.37,Lisboa,Particular
T02725,2022-02-23,2022,2,Q1,C0012,2,P009,Seguro Saude,5932.62,1483.15,Faro,Private Banking
T01235,2022-02-23,2022,2,Q1,C0022,1,P001,Deposito,34562.99,414.76,Lisboa,Particular
T00189,2022-02-23,2022,2,Q1,C0037,1,P003,Credito,12093.53,991.67,Coimbra,Particular
T01959,2022-02-23,2022,2,Q1,C0026,1,P005,Cartao,1775.33,102.97,Leiria,PME
T01085,2022-02-23,2022,2,Q1,C0024,3,P014,Poupanca,23419.9,234.2,Viseu,Particular
T02059,2022-02-24,2022,2,Q1,C0004,3,P013,Gestao,221520.01,2658.24,Porto,PME
T00363,2022-02-24,2022,2,Q1,C0037,2,P009,Seguro Saude,3225.95,806.49,Setubal,Particular
T00010,2022-02-25,2022,2,Q1,C0004,2,P009,Seguro Saude,2382.05,595.51,Braga,PME
T00523,2022-02-25,2022,2,Q1,C0027,3,P011,Fundo,44407.04,355.26,Braga,Particular
T01638,2022-02-25,2022,2,Q1,C0039,3,P012,Fundo,38676.76,773.54,Leiria,PME
T01036,2022-02-26,2022,2,Q1,C0028,3,P010,Fundo,26524.16,397.86,Coimbra,Particular
T02754,2022-02-26,2022,2,Q1,C0021,1,P005,Cartao,2283.56,132.45,Aveiro,PME
T01870,2022-02-27,2022,2,Q1,C0009,1,P002,Credito,197029.16,6896.02,Braga,PME
T00261,2022-02-27,2022,2,Q1,C0019,1,P001,Deposito,42039.23,504.47,Braga,Particular
T00328,2022-02-28,2022,2,Q1,C0004,2,P006,Seguro Vida,3835.35,843.78,Braga,PME
T02172,2022-03-01,2022,3,Q1,C0010,2,P008,Seguro Habitacao,2315.03,463.01,Porto,PME
T01472,2022-03-01,2022,3,Q1,C0029,3,P014,Poupanca,5249.82,52.5,Braga,PME
T01901,2022-03-01,2022,3,Q1,C0024,2,P007,Seguro Auto,1679.23,310.66,Braga,Particular
T01294,2022-03-01,2022,3,Q1,C0011,1,P002,Credito,85976.13,3009.16,Viseu,Particular
T02696,2022-03-02,2022,3,Q1,C0011,1,P003,Credito,31376.95,2572.91,Viseu,Particular
T00690,2022-03-02,2022,3,Q1,C0017,3,P010,Fundo,81056.73,1215.85,Setubal,Particular
T02025,2022-03-03,2022,3,Q1,C0023,3,P011,Fundo,58173.34,465.39,Setubal,Particular
T02542,2022-03-03,2022,3,Q1,C0006,1,P002,Credito,203214.91,7112.52,Evora,Particular
T02403,2022-03-03,2022,3,Q1,C0009,1,P003,Credito,39612.99,3248.27,Braga,PME
T01981,2022-03-03,2022,3,Q1,C0035,1,P001,Deposito,7548.9,90.59,Lisboa,Private Banking
T00193,2022-03-04,2022,3,Q1,C0005,3,P014,Poupanca,8023.72,80.24,Viseu,Particular
T00169,2022-03-05,2022,3,Q1,C0003,3,P013,Gestao,431284.34,5175.41,Porto,PME
T00935,2022-03-05,2022,3,Q1,C0028,1,P002,Credito,135699.6,4749.49,Aveiro,Particular
T02461,2022-03-06,2022,3,Q1,C0037,2,P009,Seguro Saude,1905.6,476.4,Setubal,Particular
T01148,2022-03-06,2022,3,Q1,C0012,2,P006,Seguro Vida,2353.18,517.7,Faro,Private Banking
T02523,2022-03-06,2022,3,Q1,C0007,3,P012,Fundo,99380.22,1987.6,Braga,Particular
T02293,2022-03-06,2022,3,Q1,C0010,2,P007,Seguro Auto,1727.73,319.63,Porto,PME
T01628,2022-03-06,2022,3,Q1,C0025,2,P006,Seguro Vida,2027.62,446.08,Faro,Particular
T01115,2022-03-06,2022,3,Q1,C0020,3,P010,Fundo,84511.08,1267.67,Aveiro,Particular
T00483,2022-03-06,2022,3,Q1,C0005,3,P013,Gestao,220668.81,2648.03,Viseu,Particular
T00573,2022-03-08,2022,3,Q1,C0026,3,P012,Fundo,35509.12,710.18,Faro,PME
T02491,2022-03-08,2022,3,Q1,C0041,2,P008,Seguro Habitacao,2218.24,443.65,Leiria,Particular
T01052,2022-03-08,2022,3,Q1,C0029,2,P008,Seguro Habitacao,1348.06,269.61,Aveiro,PME
T00301,2022-03-08,2022,3,Q1,C0037,1,P002,Credito,171370.2,5997.96,Coimbra,Particular
T02423,2022-03-08,2022,3,Q1,C0014,2,P008,Seguro Habitacao,761.57,152.31,Porto,Particular
T01390,2022-03-09,2022,3,Q1,C0021,1,P001,Deposito,48383.61,580.6,Aveiro,PME
